Ref,Val,Package,PosX,PosY,Rot,Side
"D502","LED","LED_0805_2012Metric",169.800000,-123.825000,90.000000,top
"D503","LED","LED_0805_2012Metric",153.700000,-105.925000,90.000000,top
"D504","LED","LED_0805_2012Metric",167.250000,-113.325000,90.000000,top
"F501","015402.5DR","0154Series_LTF",124.206000,-96.393000,0.000000,top
"F502","0154001.DR","FUSE_0154001.DR",124.000000,-141.400000,0.000000,top
"F503","0154001.DR","FUSE_0154001.DR",174.600000,-96.750000,180.000000,top
"F504","0154001.DR","FUSE_0154001.DR",174.400000,-141.400000,180.000000,top
"F505","0154001.DR","FUSE_0154001.DR",165.600000,-135.400000,0.000000,top
"FB501","1.5K 0.5A","L_0603_1608Metric",158.700000,-115.500000,180.000000,top
"J201","JTAG Connector","PinHeader_1x06_P2.54mm_Vertical",150.876000,-93.472000,-90.000000,top
"J202","I2C2","PinHeader_1x2_P2mm_Drill1mm_RA",163.595000,-98.825000,180.000000,top
"J203","UART1","PinHeader_1x2_P2mm_Drill1mm_RA",125.037700,-114.095000,-90.000000,top
"J204","UART2","PinHeader_1x2_P2mm_Drill1mm_RA",125.037700,-121.545000,-90.000000,top
"J205","UART4","PinHeader_1x2_P2mm_Drill1mm_RA",173.525400,-116.685000,90.000000,top
"J206","UART3","PinHeader_1x2_P2mm_Drill1mm_RA",173.525400,-124.020000,90.000000,top
"J301","BWSMA-KWE-Z001","RF_SMA_RightAngle_5-1814400-1",153.137256,-142.353171,180.000000,top
"J304","BWSMA-KWE-Z001","RF_SMA_RightAngle_5-1814400-1",133.660000,-142.340000,180.000000,top
"J305","BWSMA-KWE-Z001","RF_SMA_RightAngle_5-1814400-1",143.540000,-142.340000,180.000000,top
"J501","Input Power","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",122.387700,-103.350000,-90.000000,top
"J502","Board1","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",122.300000,-129.900000,-90.000000,top
"J503","Board2","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",176.167500,-108.250000,90.000000,top
"J504","Board3","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",176.175400,-134.600000,90.000000,top
"J505","Board4","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",160.800000,-142.700000,0.000000,top
"J601","Pipe Thermistor","PinHeader_1x2_P2mm_Drill1mm_RA",134.116000,-98.716000,180.000000,top
"J602","Ambient Thermistor","PinHeader_1x2_P2mm_Drill1mm_RA",157.103000,-98.843000,180.000000,top
"J603","Pressure Sensor","PinHeader_1x4_P2.5mm_Drill1.1mm",131.200000,-130.389000,90.000000,top
"J604","Humidity Sensor","PinHeader_1x4_P2.5mm_Drill1.1mm",131.182000,-112.732000,90.000000,top
"L301","20nH","L_0402_1005Metric",142.502711,-125.867636,145.000000,top
"L302","3.7nH","L_0402_1005Metric",142.748286,-127.260364,145.000000,top
"L303","3.7nH","L_0402_1005Metric",140.691430,-127.509966,-125.000000,top
"L304","3.4nH","L_0402_1005Metric",140.037166,-129.345506,-125.000000,top
"L305","3.9nH","L_0402_1005Metric",138.431152,-131.639132,-125.000000,top
"L306","10nH","L_0402_1005Metric",147.000000,-128.400000,165.000000,top
"L307","22nH","L_0402_1005Metric",146.334967,-127.128441,165.000000,top
"L308","10nH","L_0402_1005Metric",145.200000,-129.400000,-105.000000,top
"L309","6.8nH","L_0402_1005Metric",144.800000,-132.300000,-105.000000,top
"L310","6.8nH","L_0402_1005Metric",144.071425,-135.019081,-105.000000,top
"L311","3.4nH","L_0402_1005Metric",147.469808,-124.844330,-105.000000,top
"L312","3.4nH","L_0402_1005Metric",146.500000,-124.600000,-105.000000,top
"L313","0.6nH","L_0402_1005Metric",145.000000,-135.300000,75.000000,top
"L314","1nH","L_0402_1005Metric",149.483691,-125.440827,-75.000000,top
"L315","1nH","L_0402_1005Metric",150.449617,-125.182008,-75.000000,top
"L316","12nH","L_0402_1005Metric",149.625776,-127.902947,15.000000,top
"L317","27nH","L_0402_1005Metric",150.363502,-126.695880,15.000000,top
"L318","12nH","L_0402_1005Metric",151.437012,-128.867015,-75.000000,top
"L319","3nH","L_0402_1005Metric",152.165587,-131.586096,-75.000000,top
"L320","5.1nH","L_0402_1005Metric",152.450000,-134.409491,-75.000000,top
"L321","1.9nH","L_0402_1005Metric",150.229854,-132.089245,105.000000,top
"R201","1k","R_0603_1608Metric",139.700000,-112.649000,-45.000000,top
"R202","1k","R_0603_1608Metric",138.557000,-113.792000,-45.000000,top
"R205","330R","R_0603_1608Metric",158.600000,-126.200000,0.000000,top
"R206","1k","R_0603_1608Metric",150.622000,-109.791000,-90.000000,top
"R207","1k","R_0603_1608Metric",152.222000,-109.791000,-90.000000,top
"R208","1k","R_0603_1608Metric",147.320000,-109.791000,-90.000000,top
"R209","1k","R_0603_1608Metric",148.830000,-109.791000,-90.000000,top
"R210","1k","R_0603_1608Metric",139.225000,-117.710000,0.000000,top
"R211","1k","R_0603_1608Metric",139.225000,-116.200000,0.000000,top
"R212","1k","R_0603_1608Metric",143.600000,-112.575000,-90.000000,top
"R213","1k","R_0603_1608Metric",142.090000,-112.575000,-90.000000,top
"R401","2.2K","R_0603_1608Metric",159.000000,-123.400000,90.000000,top
"R402","2.2K","R_0603_1608Metric",158.750000,-117.729000,180.000000,top
"R403","2.2K","R_0603_1608Metric",157.400000,-123.400000,90.000000,top
"R504","1k","R_0603_1608Metric",166.765000,-130.200000,90.000000,top
"R507","500R","R_0603_1608Metric",169.800000,-120.625000,-90.000000,top
"R508","330R","R_0603_1608Metric",153.700000,-102.525000,-90.000000,top
"R509","330R","R_0603_1608Metric",167.250000,-110.100000,-90.000000,top
"TP501","RCT-0C","PROBE_PAD_0805",168.900000,-117.700000,180.000000,top
"TP502","RCT-0C","PROBE_PAD_0805",167.000000,-107.100000,180.000000,top
"TP503","RCT-0C","PROBE_PAD_0805",156.300000,-103.100000,180.000000,top
"U201","CC1354P106T0RGZR","VQFN48_RGZ_TEX",149.722600,-118.050315,90.000000,top
"U202","LTC1694CS5TRMPBF","SOT95P280X100-5N",162.575000,-102.975000,90.000000,top
"Y201","ABM11W-48.0000MHZ-7-B1U-T3","XTAL_ABM11W-48.0000MHZ-7-B1U-T3",141.893934,-120.194788,135.000000,top
"Y202","ABS07-32.768KHZ-T","XTAL_ABS07-32.768KHZ-T",153.650000,-124.450000,-145.000000,top
